candidate,operation,state,repeat,wall_seconds,exit_code,java_tree_hash,notes
mycila-5.0.0_formatter-2.29.0,clean-check,initial,1,12.69,0,902f8eae205ce91a7b1b4cfecf45a6e873dd62e49be3f61726e0b25c317ed506,"license:check formatter:validate"
mycila-5.0.0_formatter-2.29.0,dirty-license-check,dirty,1,,1,,"missing SPDX header rejected"
mycila-5.0.0_formatter-2.29.0,dirty-format-check,dirty,1,,1,,"malformed Java rejected"
mycila-5.0.0_formatter-2.29.0,repair,dirty,1,4.32,0,902f8eae205ce91a7b1b4cfecf45a6e873dd62e49be3f61726e0b25c317ed506,"license:format formatter:format"
mycila-5.0.0_formatter-2.29.0,repair,idempotent,1,3.19,0,902f8eae205ce91a7b1b4cfecf45a6e873dd62e49be3f61726e0b25c317ed506,"no hash change"
mycila-5.0.0_formatter-2.29.0,repair,idempotent,2,2.51,0,902f8eae205ce91a7b1b4cfecf45a6e873dd62e49be3f61726e0b25c317ed506,"no hash change"
mycila-5.0.0_formatter-2.29.0,clean-check,warm,1,2.48,0,902f8eae205ce91a7b1b4cfecf45a6e873dd62e49be3f61726e0b25c317ed506,"license:check formatter:validate"
mycila-5.0.0_formatter-2.29.0,clean-check,warm,2,2.04,0,902f8eae205ce91a7b1b4cfecf45a6e873dd62e49be3f61726e0b25c317ed506,"license:check formatter:validate"
mycila-5.0.0_formatter-2.29.0,clean-check,warm,3,2.01,0,902f8eae205ce91a7b1b4cfecf45a6e873dd62e49be3f61726e0b25c317ed506,"license:check formatter:validate"
mycila-5.0.0_formatter-2.29.0,full-reactor,clean,1,75.12,0,902f8eae205ce91a7b1b4cfecf45a6e873dd62e49be3f61726e0b25c317ed506,"clean license:check formatter:validate verify"
mycila-5.0.0_formatter-2.29.0,full-reactor,clean,2,67.78,0,902f8eae205ce91a7b1b4cfecf45a6e873dd62e49be3f61726e0b25c317ed506,"clean license:check formatter:validate verify"
mycila-5.1.1_formatter-2.29.0,clean-check,initial,1,10.00,0,902f8eae205ce91a7b1b4cfecf45a6e873dd62e49be3f61726e0b25c317ed506,"license:check formatter:validate"
mycila-5.1.1_formatter-2.29.0,dirty-license-check,dirty,1,,1,,"missing SPDX header rejected"
mycila-5.1.1_formatter-2.29.0,dirty-format-check,dirty,1,,1,,"malformed Java rejected"
mycila-5.1.1_formatter-2.29.0,repair,dirty,1,5.02,0,902f8eae205ce91a7b1b4cfecf45a6e873dd62e49be3f61726e0b25c317ed506,"license:format formatter:format"
mycila-5.1.1_formatter-2.29.0,repair,idempotent,1,3.03,0,902f8eae205ce91a7b1b4cfecf45a6e873dd62e49be3f61726e0b25c317ed506,"no hash change"
mycila-5.1.1_formatter-2.29.0,repair,idempotent,2,2.95,0,902f8eae205ce91a7b1b4cfecf45a6e873dd62e49be3f61726e0b25c317ed506,"no hash change"
mycila-5.1.1_formatter-2.29.0,clean-check,warm,1,2.08,0,902f8eae205ce91a7b1b4cfecf45a6e873dd62e49be3f61726e0b25c317ed506,"license:check formatter:validate"
mycila-5.1.1_formatter-2.29.0,clean-check,warm,2,1.93,0,902f8eae205ce91a7b1b4cfecf45a6e873dd62e49be3f61726e0b25c317ed506,"license:check formatter:validate"
mycila-5.1.1_formatter-2.29.0,clean-check,warm,3,2.05,0,902f8eae205ce91a7b1b4cfecf45a6e873dd62e49be3f61726e0b25c317ed506,"license:check formatter:validate"
mycila-5.1.1_formatter-2.29.0,full-reactor,clean,1,77.34,0,902f8eae205ce91a7b1b4cfecf45a6e873dd62e49be3f61726e0b25c317ed506,"clean license:check formatter:validate verify"
mycila-5.1.1_formatter-2.29.0,full-reactor,clean,2,93.33,0,902f8eae205ce91a7b1b4cfecf45a6e873dd62e49be3f61726e0b25c317ed506,"clean license:check formatter:validate verify"
spotless-3.9.0-consolidated,clean-check,initial,1,14.46,1,,"proposed licenseHeader would delete one legacy full MIT block"
spotless-3.9.0-consolidated,repair,dirty,1,5.78,0,c78d9669cdc75112749728f745084ecb5bd7cea0100d2a7db17553932e66359a,"spotless:apply; one intentional 22-line deletion remains"
spotless-3.9.0-consolidated,repair,idempotent,1,2.05,0,c78d9669cdc75112749728f745084ecb5bd7cea0100d2a7db17553932e66359a,"no hash change"
spotless-3.9.0-consolidated,repair,idempotent,2,2.01,0,c78d9669cdc75112749728f745084ecb5bd7cea0100d2a7db17553932e66359a,"no hash change"
spotless-3.9.0-consolidated,clean-check,warm,1,1.56,0,c78d9669cdc75112749728f745084ecb5bd7cea0100d2a7db17553932e66359a,"spotless:check after bounded churn"
spotless-3.9.0-consolidated,clean-check,warm,2,1.47,0,c78d9669cdc75112749728f745084ecb5bd7cea0100d2a7db17553932e66359a,"spotless:check after bounded churn"
spotless-3.9.0-consolidated,clean-check,warm,3,1.58,0,c78d9669cdc75112749728f745084ecb5bd7cea0100d2a7db17553932e66359a,"spotless:check after bounded churn"
spotless-3.9.0-consolidated,full-reactor,clean,1,58.99,0,c78d9669cdc75112749728f745084ecb5bd7cea0100d2a7db17553932e66359a,"clean spotless:check verify after bounded churn"
spotless-3.9.0-consolidated,full-reactor,clean,2,58.77,0,c78d9669cdc75112749728f745084ecb5bd7cea0100d2a7db17553932e66359a,"clean spotless:check verify after bounded churn"
mycila-5.1.1_spotless-3.9.0-format-only,clean-check,initial,1,5.31,0,902f8eae205ce91a7b1b4cfecf45a6e873dd62e49be3f61726e0b25c317ed506,"license:check spotless:check"
mycila-5.1.1_spotless-3.9.0-format-only,dirty-license-check,dirty,1,,1,,"missing SPDX header rejected"
mycila-5.1.1_spotless-3.9.0-format-only,dirty-format-check,dirty,1,,1,,"malformed Java rejected"
mycila-5.1.1_spotless-3.9.0-format-only,repair,dirty,1,2.33,0,902f8eae205ce91a7b1b4cfecf45a6e873dd62e49be3f61726e0b25c317ed506,"license:format spotless:apply"
mycila-5.1.1_spotless-3.9.0-format-only,repair,idempotent,1,1.86,0,902f8eae205ce91a7b1b4cfecf45a6e873dd62e49be3f61726e0b25c317ed506,"no hash change"
mycila-5.1.1_spotless-3.9.0-format-only,repair,idempotent,2,1.37,0,902f8eae205ce91a7b1b4cfecf45a6e873dd62e49be3f61726e0b25c317ed506,"no hash change"
mycila-5.1.1_spotless-3.9.0-format-only,clean-check,warm,1,1.31,0,902f8eae205ce91a7b1b4cfecf45a6e873dd62e49be3f61726e0b25c317ed506,"license:check spotless:check"
mycila-5.1.1_spotless-3.9.0-format-only,clean-check,warm,2,1.45,0,902f8eae205ce91a7b1b4cfecf45a6e873dd62e49be3f61726e0b25c317ed506,"license:check spotless:check"
mycila-5.1.1_spotless-3.9.0-format-only,clean-check,warm,3,1.26,0,902f8eae205ce91a7b1b4cfecf45a6e873dd62e49be3f61726e0b25c317ed506,"license:check spotless:check"
mycila-5.1.1_spotless-3.9.0-format-only,full-reactor,clean,1,64.10,0,902f8eae205ce91a7b1b4cfecf45a6e873dd62e49be3f61726e0b25c317ed506,"clean license:check spotless:check verify"
mycila-5.1.1_spotless-3.9.0-format-only,full-reactor,clean,2,62.79,0,902f8eae205ce91a7b1b4cfecf45a6e873dd62e49be3f61726e0b25c317ed506,"clean license:check spotless:check verify"
apache-rat-0.18,java-corpus-check,clean,1,3.32,0,,"recognized SPDX MIT headers in Java-only corpus"
apache-rat-0.18,java-corpus-check,dirty,1,,1,,"rejected one missing header; does not repair or format"
