query_index,plugin,package,version,artifact_coordinate
0,mycila-5.0.0,com.mycila:license-maven-plugin,5.0.0,com.mycila:license-maven-plugin:jar:5.0.0
1,mycila-5.0.0,org.apache.maven.shared:maven-shared-utils,3.4.2,org.apache.maven.shared:maven-shared-utils:jar:3.4.2
2,mycila-5.0.0,org.slf4j:slf4j-api,1.7.36,org.slf4j:slf4j-api:jar:1.7.36
3,mycila-5.0.0,commons-io:commons-io,2.11.0,commons-io:commons-io:jar:2.11.0
4,mycila-5.0.0,org.apache.maven.shared:maven-common-artifact-filters,3.4.0,org.apache.maven.shared:maven-common-artifact-filters:jar:3.4.0
5,mycila-5.0.0,org.apache.maven.resolver:maven-resolver-util,1.4.1,org.apache.maven.resolver:maven-resolver-util:jar:1.4.1
6,mycila-5.0.0,org.apache.maven.resolver:maven-resolver-api,1.4.1,org.apache.maven.resolver:maven-resolver-api:jar:1.4.1
7,mycila-5.0.0,org.apache.maven.shared:maven-dependency-tree,3.3.0,org.apache.maven.shared:maven-dependency-tree:jar:3.3.0
8,mycila-5.0.0,com.google.code.gson:gson,2.12.1,com.google.code.gson:gson:jar:2.12.1
9,mycila-5.0.0,com.google.errorprone:error_prone_annotations,2.36.0,com.google.errorprone:error_prone_annotations:jar:2.36.0
10,mycila-5.0.0,org.codehaus.plexus:plexus-utils,4.0.2,org.codehaus.plexus:plexus-utils:jar:4.0.2
11,mycila-5.0.0,com.mycila:mycila-xmltool,4.4.ga,com.mycila:mycila-xmltool:jar:4.4.ga
12,mycila-5.0.0,org.apache.commons:commons-pool2,2.2,org.apache.commons:commons-pool2:jar:2.2
13,mycila-5.1.1,com.mycila:license-maven-plugin,5.1.1,com.mycila:license-maven-plugin:jar:5.1.1
14,mycila-5.1.1,org.apache.maven.shared:maven-shared-utils,3.4.2,org.apache.maven.shared:maven-shared-utils:jar:3.4.2
15,mycila-5.1.1,org.slf4j:slf4j-api,1.7.36,org.slf4j:slf4j-api:jar:1.7.36
16,mycila-5.1.1,commons-io:commons-io,2.22.0,commons-io:commons-io:jar:2.22.0
17,mycila-5.1.1,org.apache.maven.shared:maven-common-artifact-filters,3.4.0,org.apache.maven.shared:maven-common-artifact-filters:jar:3.4.0
18,mycila-5.1.1,org.apache.maven.resolver:maven-resolver-util,1.4.1,org.apache.maven.resolver:maven-resolver-util:jar:1.4.1
19,mycila-5.1.1,org.apache.maven.resolver:maven-resolver-api,1.4.1,org.apache.maven.resolver:maven-resolver-api:jar:1.4.1
20,mycila-5.1.1,org.apache.maven.shared:maven-dependency-tree,3.3.0,org.apache.maven.shared:maven-dependency-tree:jar:3.3.0
21,mycila-5.1.1,com.google.code.gson:gson,2.14.0,com.google.code.gson:gson:jar:2.14.0
22,mycila-5.1.1,com.google.errorprone:error_prone_annotations,2.48.0,com.google.errorprone:error_prone_annotations:jar:2.48.0
23,mycila-5.1.1,org.codehaus.plexus:plexus-utils,4.0.3,org.codehaus.plexus:plexus-utils:jar:4.0.3
24,mycila-5.1.1,org.codehaus.plexus:plexus-xml,3.0.2,org.codehaus.plexus:plexus-xml:jar:3.0.2
25,mycila-5.1.1,com.mycila:mycila-xmltool,4.4.ga,com.mycila:mycila-xmltool:jar:4.4.ga
26,mycila-5.1.1,org.apache.commons:commons-pool2,2.13.1,org.apache.commons:commons-pool2:jar:2.13.1
27,formatter-2.29.0,net.revelc.code.formatter:formatter-maven-plugin,2.29.0,net.revelc.code.formatter:formatter-maven-plugin:jar:2.29.0
28,formatter-2.29.0,com.fasterxml.jackson.core:jackson-core,2.20.0,com.fasterxml.jackson.core:jackson-core:jar:2.20.0
29,formatter-2.29.0,com.fasterxml.jackson.core:jackson-databind,2.20.0,com.fasterxml.jackson.core:jackson-databind:jar:2.20.0
30,formatter-2.29.0,com.fasterxml.jackson.core:jackson-annotations,2.20,com.fasterxml.jackson.core:jackson-annotations:jar:2.20
31,formatter-2.29.0,com.google.guava:guava,33.4.8-jre,com.google.guava:guava:jar:33.4.8-jre
32,formatter-2.29.0,com.google.guava:failureaccess,1.0.3,com.google.guava:failureaccess:jar:1.0.3
33,formatter-2.29.0,com.google.guava:listenablefuture,9999.0-empty-to-avoid-conflict-with-guava,com.google.guava:listenablefuture:jar:9999.0-empty-to-avoid-conflict-with-guava
34,formatter-2.29.0,org.jspecify:jspecify,1.0.0,org.jspecify:jspecify:jar:1.0.0
35,formatter-2.29.0,com.google.errorprone:error_prone_annotations,2.41.0,com.google.errorprone:error_prone_annotations:jar:2.41.0
36,formatter-2.29.0,com.google.j2objc:j2objc-annotations,3.0.0,com.google.j2objc:j2objc-annotations:jar:3.0.0
37,formatter-2.29.0,javax.inject:javax.inject,1,javax.inject:javax.inject:jar:1
38,formatter-2.29.0,net.revelc.code.formatter:jsdt-core,3.5.0,net.revelc.code.formatter:jsdt-core:jar:3.5.0
39,formatter-2.29.0,com.google.code.gson:gson,2.11.0,com.google.code.gson:gson:jar:2.11.0
40,formatter-2.29.0,com.ibm.icu:icu4j,76.1,com.ibm.icu:icu4j:jar:76.1
41,formatter-2.29.0,net.java.dev.jna:jna-platform,5.17.0,net.java.dev.jna:jna-platform:jar:5.17.0
42,formatter-2.29.0,net.java.dev.jna:jna,5.17.0,net.java.dev.jna:jna:jar:5.17.0
43,formatter-2.29.0,org.osgi:org.osgi.service.prefs,1.1.2,org.osgi:org.osgi.service.prefs:jar:1.1.2
44,formatter-2.29.0,org.osgi:osgi.annotation,8.1.0,org.osgi:osgi.annotation:jar:8.1.0
45,formatter-2.29.0,org.osgi:org.osgi.util.function,1.2.0,org.osgi:org.osgi.util.function:jar:1.2.0
46,formatter-2.29.0,org.osgi:org.osgi.util.promise,1.3.0,org.osgi:org.osgi.util.promise:jar:1.3.0
47,formatter-2.29.0,org.osgi:org.osgi.util.measurement,1.0.2,org.osgi:org.osgi.util.measurement:jar:1.0.2
48,formatter-2.29.0,org.osgi:org.osgi.util.position,1.0.1,org.osgi:org.osgi.util.position:jar:1.0.1
49,formatter-2.29.0,org.osgi:org.osgi.util.xml,1.0.2,org.osgi:org.osgi.util.xml:jar:1.0.2
50,formatter-2.29.0,net.revelc.code.formatter:xml-formatter,0.4.0,net.revelc.code.formatter:xml-formatter:jar:0.4.0
51,formatter-2.29.0,org.slf4j:slf4j-api,2.0.17,org.slf4j:slf4j-api:jar:2.0.17
52,formatter-2.29.0,net.sourceforge.cssparser:cssparser,0.9.30,net.sourceforge.cssparser:cssparser:jar:0.9.30
53,formatter-2.29.0,org.apache.commons:commons-digester3,3.2,org.apache.commons:commons-digester3:jar:3.2
54,formatter-2.29.0,cglib:cglib,3.3.0,cglib:cglib:jar:3.3.0
55,formatter-2.29.0,org.ow2.asm:asm,9.8,org.ow2.asm:asm:jar:9.8
56,formatter-2.29.0,commons-beanutils:commons-beanutils,1.11.0,commons-beanutils:commons-beanutils:jar:1.11.0
57,formatter-2.29.0,commons-collections:commons-collections,3.2.2,commons-collections:commons-collections:jar:3.2.2
58,formatter-2.29.0,commons-logging:commons-logging,1.3.5,commons-logging:commons-logging:jar:1.3.5
59,formatter-2.29.0,org.codehaus.plexus:plexus-resources,1.3.1,org.codehaus.plexus:plexus-resources:jar:1.3.1
60,formatter-2.29.0,org.codehaus.plexus:plexus-xml,3.0.1,org.codehaus.plexus:plexus-xml:jar:3.0.1
61,formatter-2.29.0,org.codehaus.plexus:plexus-utils,4.0.2,org.codehaus.plexus:plexus-utils:jar:4.0.2
62,formatter-2.29.0,org.eclipse.jdt:org.eclipse.jdt.core,3.43.0,org.eclipse.jdt:org.eclipse.jdt.core:jar:3.43.0
63,formatter-2.29.0,org.eclipse.platform:org.eclipse.core.resources,3.23.0,org.eclipse.platform:org.eclipse.core.resources:jar:3.23.0
64,formatter-2.29.0,org.eclipse.platform:org.eclipse.core.expressions,3.9.500,org.eclipse.platform:org.eclipse.core.expressions:jar:3.9.500
65,formatter-2.29.0,org.eclipse.platform:org.eclipse.osgi,3.23.200,org.eclipse.platform:org.eclipse.osgi:jar:3.23.200
66,formatter-2.29.0,org.eclipse.platform:org.eclipse.core.runtime,3.34.0,org.eclipse.platform:org.eclipse.core.runtime:jar:3.34.0
67,formatter-2.29.0,org.eclipse.platform:org.eclipse.equinox.common,3.20.200,org.eclipse.platform:org.eclipse.equinox.common:jar:3.20.200
68,formatter-2.29.0,org.eclipse.platform:org.eclipse.core.jobs,3.15.700,org.eclipse.platform:org.eclipse.core.jobs:jar:3.15.700
69,formatter-2.29.0,org.eclipse.platform:org.eclipse.equinox.registry,3.12.500,org.eclipse.platform:org.eclipse.equinox.registry:jar:3.12.500
70,formatter-2.29.0,org.eclipse.platform:org.eclipse.equinox.preferences,3.12.0,org.eclipse.platform:org.eclipse.equinox.preferences:jar:3.12.0
71,formatter-2.29.0,org.eclipse.platform:org.eclipse.core.contenttype,3.9.700,org.eclipse.platform:org.eclipse.core.contenttype:jar:3.9.700
72,formatter-2.29.0,org.eclipse.platform:org.eclipse.equinox.app,1.7.500,org.eclipse.platform:org.eclipse.equinox.app:jar:1.7.500
73,formatter-2.29.0,org.eclipse.platform:org.eclipse.core.filesystem,1.11.300,org.eclipse.platform:org.eclipse.core.filesystem:jar:1.11.300
74,formatter-2.29.0,org.eclipse.platform:org.eclipse.text,3.14.400,org.eclipse.platform:org.eclipse.text:jar:3.14.400
75,formatter-2.29.0,org.eclipse.platform:org.eclipse.core.commands,3.12.400,org.eclipse.platform:org.eclipse.core.commands:jar:3.12.400
76,formatter-2.29.0,org.eclipse.jdt:ecj,3.43.0,org.eclipse.jdt:ecj:jar:3.43.0
77,formatter-2.29.0,org.jsoup:jsoup,1.21.2,org.jsoup:jsoup:jar:1.21.2
78,formatter-2.29.0,org.w3c.css:sac,1.3,org.w3c.css:sac:jar:1.3
79,spotless-3.9.0,com.diffplug.spotless:spotless-maven-plugin,3.9.0,com.diffplug.spotless:spotless-maven-plugin:jar:3.9.0
80,spotless-3.9.0,com.diffplug.spotless:spotless-lib,4.9.0,com.diffplug.spotless:spotless-lib:jar:4.9.0
81,spotless-3.9.0,com.diffplug.spotless:spotless-lib-extra,4.9.0,com.diffplug.spotless:spotless-lib-extra:jar:4.9.0
82,spotless-3.9.0,com.googlecode.concurrent-trees:concurrent-trees,2.6.1,com.googlecode.concurrent-trees:concurrent-trees:jar:2.6.1
83,spotless-3.9.0,dev.equo.ide:solstice,1.8.2,dev.equo.ide:solstice:jar:1.8.2
84,spotless-3.9.0,com.diffplug.durian:durian-swt.os,4.3.0,com.diffplug.durian:durian-swt.os:jar:4.3.0
85,spotless-3.9.0,org.tukaani:xz,1.9,org.tukaani:xz:jar:1.9
86,spotless-3.9.0,com.squareup.okhttp3:okhttp,4.12.0,com.squareup.okhttp3:okhttp:jar:4.12.0
87,spotless-3.9.0,com.squareup.okio:okio,3.6.0,com.squareup.okio:okio:jar:3.6.0
88,spotless-3.9.0,com.squareup.okio:okio-jvm,3.6.0,com.squareup.okio:okio-jvm:jar:3.6.0
89,spotless-3.9.0,org.jetbrains.kotlin:kotlin-stdlib-common,1.9.10,org.jetbrains.kotlin:kotlin-stdlib-common:jar:1.9.10
